"country_name","year","country","type","GWh","Country Code","Indicator Name","Indicator Code","total population","per_capita_kwh"
"Cyprus","2018","CY","Conventional thermal",4380.143,"CYP","Population, total","SP.POP.TOTL",1189265,3683.06727264319
"Denmark","2016","DK","Geothermal",0,"DNK","Population, total","SP.POP.TOTL",5728010,0
"Denmark","2016","DK","Conventional thermal",15533.149,"DNK","Population, total","SP.POP.TOTL",5728010,2711.78803807954
"Denmark","2016","DK","Solar",743.78,"DNK","Population, total","SP.POP.TOTL",5728010,129.849633642399
"Denmark","2016","DK","% Renewable",46.58097075,"DNK","Population, total","SP.POP.TOTL",5728010,8.13213851756544
"Denmark","2016","DK","Other",0,"DNK","Population, total","SP.POP.TOTL",5728010,0
"Denmark","2016","DK","Nuclear",0,"DNK","Population, total","SP.POP.TOTL",5728010,0
"Denmark","2016","DK","Total Renewable",13544.783,"DNK","Population, total","SP.POP.TOTL",5728010,2364.65770834897
"Denmark","2016","DK","Hydro",19.272,"DNK","Population, total","SP.POP.TOTL",5728010,3.36451926585324
"Denmark","2016","DK","Wind",12781.731,"DNK","Population, total","SP.POP.TOTL",5728010,2231.44355544072
"Denmark","2017","DK","Geothermal",0,"DNK","Population, total","SP.POP.TOTL",5764980,0
"Denmark","2017","DK","Conventional thermal",14104.326,"DNK","Population, total","SP.POP.TOTL",5764980,2446.55245985242
"Denmark","2017","DK","Solar",751.485,"DNK","Population, total","SP.POP.TOTL",5764980,130.353444417847
"Denmark","2017","DK","Total Renewable",15549.356,"DNK","Population, total","SP.POP.TOTL",5764980,2697.20901026543
"Denmark","2017","DK","Other",0,"DNK","Population, total","SP.POP.TOTL",5764980,0
"Denmark","2017","DK","Nuclear",0,"DNK","Population, total","SP.POP.TOTL",5764980,0
"Denmark","2017","DK","% Renewable",52.43651025,"DNK","Population, total","SP.POP.TOTL",5764980,9.09569681941655
"Denmark","2017","DK","Wind",14780,"DNK","Population, total","SP.POP.TOTL",5764980,2563.75564182356
"Denmark","2017","DK","Hydro",17.871,"DNK","Population, total","SP.POP.TOTL",5764980,3.0999240240209
"Denmark","2018","DK","Other",0.044,"DNK","Population, total","SP.POP.TOTL",5793636,0.00759453994003075
"Denmark","2018","DK","Solar",952.973,"DNK","Population, total","SP.POP.TOTL",5793636,164.486170687976
"Denmark","2018","DK","% Renewable",51.3724119,"DNK","Population, total","SP.POP.TOTL",5793636,8.86704168159684
"Denmark","2018","DK","Total Renewable",14866.708,"DNK","Population, total","SP.POP.TOTL",5793636,2566.04108369942
"Denmark","2018","DK","Hydro",14.929,"DNK","Population, total","SP.POP.TOTL",5793636,2.57679288101634
"Denmark","2018","DK","Nuclear",0,"DNK","Population, total","SP.POP.TOTL",5793636,0
"Denmark","2018","DK","Geothermal",0,"DNK","Population, total","SP.POP.TOTL",5793636,0
"Denmark","2018","DK","Wind",13898.806,"DNK","Population, total","SP.POP.TOTL",5793636,2398.97812013043
"Denmark","2018","DK","Conventional thermal",14072.337,"DNK","Population, total","SP.POP.TOTL",5793636,2428.93012263801
"Estonia","2016","EE","Geothermal",0,"EST","Population, total","SP.POP.TOTL",1315790,0
"Estonia","2016","EE","Conventional thermal",9795,"EST","Population, total","SP.POP.TOTL",1315790,7444.19702232119
"Estonia","2016","EE","Hydro",35,"EST","Population, total","SP.POP.TOTL",1315790,26.5999893600043
"Estonia","2016","EE","Total Renewable",629,"EST","Population, total","SP.POP.TOTL",1315790,478.039808784076
"Estonia","2016","EE","Other",0,"EST","Population, total","SP.POP.TOTL",1315790,0
"Estonia","2016","EE","% Renewable",6.034151957,"EST","Population, total","SP.POP.TOTL",1315790,4.58595365293854
"Estonia","2016","EE","Solar",0,"EST","Population, total","SP.POP.TOTL",1315790,0
"Estonia","2016","EE","Wind",594,"EST","Population, total","SP.POP.TOTL",1315790,451.439819424072
"Estonia","2016","EE","Nuclear",0,"EST","Population, total","SP.POP.TOTL",1315790,0
"Estonia","2017","EE","Conventional thermal",10485,"EST","Population, total","SP.POP.TOTL",1317384,7958.95501994863
"Estonia","2017","EE","Wind",723,"EST","Population, total","SP.POP.TOTL",1317384,548.814924122352
"Estonia","2017","EE","Hydro",26,"EST","Population, total","SP.POP.TOTL",1317384,19.7360830251468
"Estonia","2017","EE","Solar",0,"EST","Population, total","SP.POP.TOTL",1317384,0
"Estonia","2017","EE","Total Renewable",749,"EST","Population, total","SP.POP.TOTL",1317384,568.551007147498
"Estonia","2017","EE","Other",0,"EST","Population, total","SP.POP.TOTL",1317384,0
"Estonia","2017","EE","Nuclear",0,"EST","Population, total","SP.POP.TOTL",1317384,0
"Estonia","2017","EE","Geothermal",0,"EST","Population, total","SP.POP.TOTL",1317384,0
"Estonia","2017","EE","% Renewable",6.667260103,"EST","Population, total","SP.POP.TOTL",1317384,5.06098457473296
"Estonia","2018","EE","Solar",0,"EST","Population, total","SP.POP.TOTL",1321977,0
"Estonia","2018","EE","Conventional thermal",10170.043,"EST","Population, total","SP.POP.TOTL",1321977,7693.05593062512
"Estonia","2018","EE","Other",0,"EST","Population, total","SP.POP.TOTL",1321977,0
"Estonia","2018","EE","Nuclear",0,"EST","Population, total","SP.POP.TOTL",1321977,0
"Estonia","2018","EE","Total Renewable",664.1,"EST","Population, total","SP.POP.TOTL",1321977,502.353671811234
"Estonia","2018","EE","Wind",645.9,"EST","Population, total","SP.POP.TOTL",1321977,488.586412622912
"Estonia","2018","EE","Hydro",18.2,"EST","Population, total","SP.POP.TOTL",1321977,13.7672591883217
"Estonia","2018","EE","% Renewable",6.129695722,"EST","Population, total","SP.POP.TOTL",1321977,4.63676427199565
"Estonia","2018","EE","Geothermal",0,"EST","Population, total","SP.POP.TOTL",1321977,0
"Finland","2016","FI","Geothermal",0,"FIN","Population, total","SP.POP.TOTL",5495303,0
"Finland","2016","FI","Conventional thermal",24950,"FIN","Population, total","SP.POP.TOTL",5495303,4540.2410021795
"Finland","2016","FI","Other",249,"FIN","Population, total","SP.POP.TOTL",5495303,45.3114232281641
"Finland","2016","FI","Hydro",15634,"FIN","Population, total","SP.POP.TOTL",5495303,2844.97506324947
"Finland","2016","FI","Nuclear",22280,"FIN","Population, total","SP.POP.TOTL",5495303,4054.37152419075
"Finland","2016","FI","Total Renewable",41001,"FIN","Population, total","SP.POP.TOTL",5495303,7461.0990513171
"Finland","2016","FI","Wind",3068,"FIN","Population, total","SP.POP.TOTL",5495303,558.294965718906
"Finland","2016","FI","% Renewable",61.93504532,"FIN","Population, total","SP.POP.TOTL",5495303,11.2705423740966
"Finland","2016","FI","Solar",19,"FIN","Population, total","SP.POP.TOTL",5495303,3.45749815797236
"Finland","2017","FI","Hydro",14610,"FIN","Population, total","SP.POP.TOTL",5508214,2652.40239395201
"Finland","2017","FI","Conventional thermal",23681,"FIN","Population, total","SP.POP.TOTL",5508214,4299.21568043653
"Finland","2017","FI","Wind",4795,"FIN","Population, total","SP.POP.TOTL",5508214,870.518102600952
"Finland","2017","FI","Other",335,"FIN","Population, total","SP.POP.TOTL",5508214,60.818261599858
"Finland","2017","FI","Nuclear",21574,"FIN","Population, total","SP.POP.TOTL",5508214,3916.69604703085
"Finland","2017","FI","Solar",43,"FIN","Population, total","SP.POP.TOTL",5508214,7.80652313072804
"Finland","2017","FI","% Renewable",0,"FIN","Population, total","SP.POP.TOTL",5508214,0
"Finland","2017","FI","Geothermal",0,"FIN","Population, total","SP.POP.TOTL",5508214,0
"Finland","2018","FI","Wind",5861,"FIN","Population, total","SP.POP.TOTL",5515525,1062.63682967623
"Finland","2018","FI","Geothermal",0,"FIN","Population, total","SP.POP.TOTL",5515525,0
"Finland","2018","FI","Solar",89,"FIN","Population, total","SP.POP.TOTL",5515525,16.1362698927119
"Finland","2018","FI","% Renewable",0,"FIN","Population, total","SP.POP.TOTL",5515525,0
"Finland","2018","FI","Other",0,"FIN","Population, total","SP.POP.TOTL",5515525,0
"Finland","2018","FI","Hydro",13158.674,"FIN","Population, total","SP.POP.TOTL",5515525,2385.75185499114
"Finland","2018","FI","Nuclear",21890,"FIN","Population, total","SP.POP.TOTL",5515525,3968.79716799398
"Finland","2018","FI","Conventional thermal",26425,"FIN","Population, total","SP.POP.TOTL",5515525,4791.02170690913
"France","2016","FR","Conventional thermal",60607.854,"FRA","Population, total","SP.POP.TOTL",66724104,908.335224703804
"France","2016","FR","Other",559.515,"FRA","Population, total","SP.POP.TOTL",66724104,8.38550038828547
"France","2016","FR","Geothermal",87.933,"FRA","Population, total","SP.POP.TOTL",66724104,1.31785958489604
"France","2016","FR","Nuclear",384008.125,"FRA","Population, total","SP.POP.TOTL",66724104,5755.16345637253
"France","2016","FR","Solar",8657.27,"FRA","Population, total","SP.POP.TOTL",66724104,129.747264946413
"France","2016","FR","Wind",21472.916,"FRA","Population, total","SP.POP.TOTL",66724104,321.816475797112
"France","2016","FR","Hydro",64879.956,"FRA","Population, total","SP.POP.TOTL",66724104,972.36159214667
"France","2016","FR","Total Renewable",479106.2,"FRA","Population, total","SP.POP.TOTL",66724104,7180.40664884762
"France","2016","FR","% Renewable",87.89962909,"FRA","Population, total","SP.POP.TOTL",66724104,1.31735945214041
"France","2017","FR","Conventional thermal",68922.949,"FRA","Population, total","SP.POP.TOTL",66864379,1030.78724473011
"France","2017","FR","Other",673.71,"FRA","Population, total","SP.POP.TOTL",66864379,10.0757684446602
"France","2017","FR","% Renewable",86.2388955,"FRA","Population, total","SP.POP.TOTL",66864379,1.28975841531408
"France","2017","FR","Total Renewable",467930.348,"FRA","Population, total","SP.POP.TOTL",66864379,6998.20076097618
"France","2017","FR","Solar",9572.843,"FRA","Population, total","SP.POP.TOTL",66864379,143.168053650809
"France","2017","FR","Geothermal",119.937,"FRA","Population, total","SP.POP.TOTL",66864379,1.79373534599043
"France","2017","FR","Hydro",54432.864,"FRA","Population, total","SP.POP.TOTL",66864379,814.078659131793
"France","2017","FR","Nuclear",379093.955,"FRA","Population, total","SP.POP.TOTL",66864379,5669.59509187994
"France","2017","FR","Wind",24710.749,"FRA","Population, total","SP.POP.TOTL",66864379,369.565220967655
"France","2018","FR","Solar",9651.478,"FRA","Population, total","SP.POP.TOTL",66965912,144.125237927022
"France","2018","FR","Nuclear",393153.254,"FRA","Population, total","SP.POP.TOTL",66965912,5870.94601205461
"France","2018","FR","Geothermal",84.084,"FRA","Population, total","SP.POP.TOTL",66965912,1.25562390608523
"France","2018","FR","Hydro",68706.552,"FRA","Population, total","SP.POP.TOTL",66965912,1025.9929260726
"France","2018","FR","Total Renewable",497729.388,"FRA","Population, total","SP.POP.TOTL",66965912,7432.5783541931
"France","2018","FR","Other",0,"FRA","Population, total","SP.POP.TOTL",66965912,0
