"year","type","GWh","country","country_name"
"1992","Natural Gas",466607.133143717,"US","United States"
"1992","Nuclear",292133.537640672,"US","United States"
"1992","Other",132183.079110587,"US","United States"
"1992","Solar",2835.12446267077,"US","United States"
"1992","Total",3152292.44689668,"US","United States"
"1992","Total Renewable",262436.397931697,"US","United States"
"1992","Wind",1346.48122441108,"US","United States"
"1993","Coal",916891.041702393,"US","United States"
"1993","Conventional thermal",2515012.85005376,"US","United States"
"1993","Crude Oil",653520.941879232,"US","United States"
"1993","Geothermal",8371.62025953723,"US","United States"
"1993","Hydro",130376.611566708,"US","United States"
"1993","Natural Gas",472300.433236068,"US","United States"
"1993","Nuclear",289035.64114606,"US","United States"
"1993","Other",131135.598011402,"US","United States"
"1993","Solar",2939.27741287385,"US","United States"
"1993","Total",3078268.78097021,"US","United States"
"1993","Total Renewable",274220.222138602,"US","United States"
"1993","Wind",1397.15997593846,"US","United States"
"1994","Coal",1001044.34852969,"US","United States"
"1994","Conventional thermal",2615187.87896479,"US","United States"
"1994","Crude Oil",635854.392219786,"US","United States"
"1994","Geothermal",7821.12006667815,"US","United States"
"1994","Hydro",120991.326100908,"US","United States"
"1994","Natural Gas",489144.625467482,"US","United States"
"1994","Nuclear",301812.57049633,"US","United States"
"1994","Other",136505.0207533,"US","United States"
"1994","Solar",3026.56750447262,"US","United States"
"1994","Total",3186947.89826532,"US","United States"
"1994","Total Renewable",269947.426260271,"US","United States"
"1994","Wind",1603.34674705477,"US","United States"
"1995","Coal",997774.013525098,"US","United States"
"1995","Conventional thermal",2592389.29413177,"US","United States"
"1995","Crude Oil",626124.026838671,"US","United States"
"1995","Geothermal",6855.92430693908,"US","United States"
"1995","Hydro",144520.446940714,"US","United States"
"1995","Natural Gas",484245.64942793,"US","United States"
"1995","Nuclear",319016.225669516,"US","United States"
"1995","Other",139730.944218518,"US","United States"
"1995","Solar",3076.45721849846,"US","United States"
"1995","Total",3207060.57689918,"US","United States"
"1995","Total Renewable",295654.921834324,"US","United States"
"1995","Wind",1471.21678144,"US","United States"
"1996","Coal",1027558.96183603,"US","United States"
"1996","Conventional thermal",2630319.97253751,"US","United States"
"1996","Crude Oil",618736.04327248,"US","United States"
"1996","Geothermal",7365.50726936123,"US","United States"
"1996","Hydro",161849.897235574,"US","United States"
"1996","Natural Gas",492012.472442538,"US","United States"
"1996","Nuclear",319522.968096933,"US","United States"
"1996","Other",142265.738464175,"US","United States"
"1996","Solar",3117.05883393477,"US","United States"
"1996","Total",3265948.8127515,"US","United States"
"1996","Total Renewable",316105.984836699,"US","United States"
"1996","Wind",1507.73794579692,"US","United States"
"1997","Coal",1050980.54813634,"US","United States"
"1997","Conventional thermal",2651449.29217621,"US","United States"
"1997","Crude Oil",615810.855814991,"US","United States"
"1997","Geothermal",7516.03308072615,"US","United States"
"1997","Hydro",164140.450558612,"US","United States"
"1997","Natural Gas",492328.921568512,"US","United States"
"1997","Nuclear",297444.233448527,"US","United States"
"1997","Other",140128.934734294,"US","United States"
"1997","Solar",3073.436332064,"US","United States"
"1997","Total",3265266.45312017,"US","United States"
"1997","Total Renewable",316372.950039362,"US","United States"
"1997","Wind",1514.07278973785,"US","United States"
"1998","Coal",1084146.47705351,"US","United States"
"1998","Conventional thermal",2672173.31706626,"US","United States"
"1998","Crude Oil",596743.742046385,"US","United States"
"1998","Geothermal",7595.04955052308,"US","United States"
"1998","Hydro",148657.100034137,"US","United States"
"1998","Natural Gas",495641.571527114,"US","United States"
"1998","Nuclear",318672.408214203,"US","United States"
"1998","Other",132059.13259106,"US","United States"
"1998","Solar",3041.13088235815,"US","United States"
"1998","Total",3283589.1663659,"US","United States"
"1998","Total Renewable",292743.508717218,"US","United States"
"1998","Wind",1391.09565914092,"US","United States"
"1999","Coal",1050325.44411471,"US","United States"
"1999","Conventional thermal",2595247.84173627,"US","United States"
